company,year,Price,fuel_type,Driven,Car_Name,Model_Info
Hyundai,2007,80000,Petrol,45000,Hyundai Santro,Xing XO eRLX Euro III
Mahindra,2006,425000,Diesel,40,Mahindra Jeep,CL550 MDI
Hyundai,2014,325000,Petrol,28000,Hyundai Grand,i10 Magna 1.2 Kappa VTVT
Ford,2014,575000,Diesel,36000,Ford EcoSport,Titanium 1.5L TDCi
Ford,2012,175000,Diesel,41000,Ford Figo,Diesel EXI
Hyundai,2013,190000,Petrol,25000,Hyundai Eon,Era Plus
Ford,2016,830000,Diesel,24530,Ford EcoSport,Ambiente 1.5L TDCi
Maruti,2015,250000,Petrol,60000,Maruti Suzuki,Alto K10 VXi AMT
Skoda,2010,182000,Petrol,60000,Skoda Fabia,Classic 1.2 MPI
Maruti,2015,315000,Petrol,30000,Maruti Suzuki,Stingray VXi
Hyundai,2014,415000,Petrol,32000,Hyundai Elite,i20 Magna 1.2
Mahindra,2015,320000,Diesel,48660,Mahindra Scorpio,SLE BS IV
Hyundai,2007,80000,Petrol,45000,Hyundai Santro,Xing XO eRLX Euro III
Mahindra,2006,425000,Diesel,40,Mahindra Jeep,CL550 MDI
Mahindra,2016,350000,Diesel,43000,Mahindra Scorpio,S10
Maruti,2014,160000,Petrol,35550,Maruti Suzuki,Alto 800
Mahindra,2016,350000,Diesel,43000,Mahindra Scorpio,S10
Mahindra,2016,310000,Diesel,39522,Mahindra Scorpio,S10
Maruti,2015,75000,Petrol,39000,Maruti Suzuki,Alto 800 Vxi
Hyundai,2012,100000,Petrol,55000,Hyundai i20,Sportz 1.2
Hyundai,2012,100000,Petrol,55000,Hyundai i20,Sportz 1.2
Hyundai,2012,100000,Petrol,55000,Hyundai i20,Sportz 1.2
Maruti,2017,190000,Petrol,72000,Maruti Suzuki,Alto 800 Lx
Maruti,2016,290000,Diesel,15975,Maruti Suzuki,Vitara Brezza ZDi
Maruti,2008,95000,Petrol,70000,Maruti Suzuki,Alto LX
Mahindra,2017,180000,Diesel,23452,Mahindra Bolero,DI
Maruti,2014,385000,Diesel,35522,Maruti Suzuki,Swift Dzire ZDi
Mahindra,2015,250000,Diesel,48508,Mahindra Scorpio,S10 4WD
Maruti,2017,180000,Petrol,15487,Maruti Suzuki,Swift Vdi BSIII
Maruti,2013,105000,Petrol,39000,Maruti Suzuki,Wagon R VXi BS III
Maruti,2013,105000,Petrol,39000,Maruti Suzuki,Wagon R VXi Minor
Toyota,2012,650000,Diesel,82000,Toyota Innova,2.0 G 8 STR BS IV
Renault,2018,689999,Diesel,20000,Renault Lodgy,85 PS RXL
Skoda,2012,448000,Diesel,68000,Skoda Yeti,Ambition 2.0 TDI CR 4x2
Maruti,2017,549000,Diesel,32000,Maruti Suzuki,Baleno Delta 1.2
Renault,2012,501000,Diesel,38000,Renault Duster,110 PS RxZ Diesel Plus
Renault,2013,489999,Diesel,27000,Renault Duster,85 PS RxE Diesel
Honda,2011,280000,Petrol,33000,Honda City,1.5 S MT
Maruti,2015,250000,Petrol,60000,Maruti Suzuki,Alto K10 VXi AMT
Maruti,2013,349999,Diesel,46000,Maruti Suzuki,Dzire
Honda,2013,284999,Diesel,46000,Honda Amaze,1.2 S i VTEC
Honda,2015,345000,Diesel,36000,Honda Amaze,1.5 SX i DTEC
Honda,2015,499999,Petrol,55000,Honda City,1.5 S MT
Datsun,2017,235000,Petrol,16000,Datsun Redi,GO S
Maruti,2010,249999,Petrol,36000,Maruti Suzuki,SX4 ZXI MT
Mitsubishi,2015,1475000,Diesel,47000,Mitsubishi Pajero,Sport Limited Edition
Mahindra,2017,180000,Diesel,23452,Mahindra Bolero,DI
Maruti,2014,385000,Diesel,35522,Maruti Suzuki,Swift Dzire ZDi
Mahindra,2015,250000,Diesel,48508,Mahindra Scorpio,S10 4WD
Maruti,2017,180000,Petrol,15487,Maruti Suzuki,Swift Vdi BSIII
Maruti,2013,105000,Petrol,39000,Maruti Suzuki,Wagon R VXi BS III
Maruti,2013,105000,Petrol,39000,Maruti Suzuki,Wagon R VXi Minor
Mahindra,2015,395000,Diesel,35000,Mahindra Scorpio,S10
Maruti,2017,220000,Petrol,30874,Maruti Suzuki,Swift VXi 1.2 ABS BS IV
Honda,2017,170000,Diesel,15000,Honda City,ZX CVT
Maruti,2013,85000,Petrol,29685,Maruti Suzuki,Wagon R LX BS IV
Ford,2012,175000,Diesel,41000,Ford Figo,Diesel EXI
Hyundai,2013,190000,Petrol,25000,Hyundai Eon,Era Plus
Tata,2017,200000,Diesel,130000,Tata Indigo,eCS LS CR4 BS IV
Ford,2016,830000,Diesel,24530,Ford EcoSport,Ambiente 1.5L TDCi
Tata,2017,200000,Diesel,130000,Tata Indigo,eCS LS CR4 BS IV
Mahindra,2012,570000,Diesel,19000,Mahindra Scorpio,SLE BS IV
Volkswagen,2014,315000,Petrol,60000,Volkswagen Polo,Highline Exquisite P
Skoda,2010,182000,Petrol,60000,Skoda Fabia,Classic 1.2 MPI
Maruti,2015,315000,Petrol,30000,Maruti Suzuki,Stingray VXi
Chevrolet,2010,110000,Petrol,41000,Chevrolet Spark,LS 1.0
Renault,2012,501000,Diesel,35000,Renault Duster,110PS Diesel RxZ
Honda,2015,448999,Petrol,54000,Honda City,1.5 S MT
Mini,2013,1891111,Petrol,13000,Mini Cooper,S 1.6
Datsun,2017,235000,Petrol,16000,Datsun Redi,GO S
Skoda,2011,159500,Diesel,38200,Skoda Fabia,1.2L Diesel Ambiente
Honda,2015,344999,Petrol,22000,Honda Amaze,1.2 S i VTEC
Honda,2015,344999,Petrol,22000,Honda Amaze,1.2 S i VTEC
Renault,2014,449999,Diesel,50000,Renault Duster,110PS Diesel RxZ
Mini,2013,1891111,Petrol,13500,Mini Cooper,S 1.6
Mahindra,2015,865000,Diesel,30000,Mahindra Scorpio,S4
Mahindra,2014,699000,Diesel,50000,Mahindra Scorpio,VLX 2WD BS IV
Mahindra,2013,375000,Diesel,20000,Mahindra Quanto,C8
Ford,2017,489999,Petrol,39000,Ford EcoSport,Titanium 1.5L TDCi
Honda,2012,224999,Petrol,30000,Honda Brio,V MT
Volkswagen,2019,1200000,Diesel,3600,Volkswagen Vento,Highline Plus 1.5 Diesel AT
Hyundai,2009,195000,Petrol,32000,Hyundai i20,Magna
Toyota,2010,351000,Diesel,38000,Toyota Corolla,Altis Diesel D4DG
Hyundai,2008,160000,Petrol,45000,Hyundai Verna,Transform SX VTVT
Toyota,2009,240000,Petrol,35000,Toyota Corolla,Altis Petrol Ltd
Honda,2005,90000,Petrol,50000,Honda City,1.5 EXi New
Hyundai,2014,415000,Petrol,32000,Hyundai Elite,i20 Magna 1.2
Skoda,2011,155000,Diesel,45863,Skoda Fabia,1.2L Diesel Elegance
BMW,2011,600000,Petrol,60500,BMW 3,Series 320i
Maruti,2011,189500,Petrol,12500,Maruti Suzuki,A Star Lxi
Toyota,2013,350000,Diesel,60000,Toyota Etios,GD
Ford,2012,210000,Diesel,35000,Ford Figo,Diesel EXI Option
Maruti,2014,390000,Petrol,35000,Maruti Suzuki,Swift Dzire VXi 1.2 BS IV
Chevrolet,2012,135000,Diesel,45000,Chevrolet Beat,LT Diesel
BMW,2009,1600000,Petrol,35000,BMW 7,Series 740Li Sedan
Mahindra,2013,701000,Diesel,38000,Mahindra XUV500,W8 AWD 2013
Hyundai,2014,265000,Petrol,18000,Hyundai i10,Magna 1.2
Hyundai,2015,525000,Diesel,35000,Hyundai Verna,Fluidic New
Maruti,2013,372000,Petrol,13349,Maruti Suzuki,Swift VXi 1.2 BS IV
Maruti,2016,635000,Petrol,29000,Maruti Suzuki,Ertiga ZXI Plus
Ford,2014,550000,Diesel,44000,Ford EcoSport,Titanium 1.5L TDCi
Maruti,2016,575000,Petrol,29000,Maruti Suzuki,Ertiga Vxi
Maruti,2013,485000,Diesel,42000,Maruti Suzuki,Ertiga VDi
Maruti,2012,155000,Petrol,14000,Maruti Suzuki,Alto LXi BS III
Hyundai,2014,345000,Diesel,49000,Hyundai Grand,i10 Asta 1.1 CRDi
Honda,2014,325000,Petrol,42000,Honda Amaze,1.2 S i VTEC
